500		0.2151437466	0.9540058103	0.2041743930
1000		0.1065893511	1.0000000000	0.0062977806
1500		0.1227861970	0.9984553618	0.0072094418
2000		0.1390420873	0.9994845354	0.0040227732
2500		0.1583467317	0.9976647501	0.0030227706
3000		0.1720506214	0.9988911659	0.0012341826
3500		0.1974321946	0.9952016593	0.2223090712
4000		0.2185267614	0.9902937570	0.2283186597
4500		0.2266121502	0.9942445428	0.3171381676
5000		0.2683138497	0.9882129602	0.3540301067
5500		0.2791869401	0.9881357941	0.2678415877
6000		0.3358080158	0.9708177850	0.8565613103
6500		0.3983944644	0.9403890790	0.9844463964
7000		0.4786876481	0.9087612426	0.9740849244
7500		0.6335350808	0.8106697013	0.9324049808
