1500	0.1212575581	0.9984553618	0.0066507839
2000	0.1398468659	0.9993552531	0.0034547098
2500	0.1624634209	0.9968472855	0.0046713199
3000	0.1760833158	0.9987229573	0.0019311793
3500	0.2053163241	0.9930887976	0.2344276520
4000	0.2219380901	0.9905594701	0.2390379763
4500	0.2293864117	0.9933999757	0.3078677177
5000	0.2688810234	0.9864388891	0.2246177144
5500	0.2822970721	0.9856982265	0.3088911757
6000	0.3426344235	0.9663479240	0.8114445813
6500	0.3976685365	0.9400992873	0.9168976695
7000	0.4756035214	0.9081465005	0.9703599929
7500	0.5346383211	0.8746754458	0.9620698117
