1500	0	591 0 4 905 0.9966273187
1500	1	579 0 4 917 0.9965576592
1500	2	594 0 5 901 0.9958088852
1500	3	580 0 6 914 0.9948542024
1500	4	591 0 7 902 0.9941126997
2000	0	773 0 2 1225 0.9987080103
2000	1	794 0 7 1199 0.9956112853
2000	2	786 0 10 1204 0.9936788875
2000	3	778 0 0 1222 1.0000000000
2000	4	801 0 2 1197 0.9987531172
2500	0	965 5 9 1521 0.9927983539
2500	1	981 11 10 1498 0.9894099849
2500	2	977 15 14 1494 0.9853756934
2500	3	1004 0 0 1496 1.0000000000
2500	4	997 8 20 1475 0.9861523244
3000	0	1144 12 33 1811 0.9807115302
3000	1	1147 4 45 1804 0.9790866411
3000	2	1179 3 11 1807 0.9940978078
3000	3	1193 0 29 1778 0.9879917184
3000	4	1144 8 46 1802 0.9769427839
3500	0	1325 36 46 2093 0.9699853587
3500	1	1375 12 12 2101 0.9913482336
3500	2	1375 18 27 2080 0.9838998211
3500	3	1347 37 65 2051 0.9635193133
3500	4	1414 0 14 2072 0.9950738916
4000	0	1562 9 20 2409 0.9908024104
4000	1	1551 6 36 2407 0.9866412214
4000	2	1544 22 75 2359 0.9695447410
4000	3	1566 25 42 2367 0.9790559550
4000	4	1511 32 105 2352 0.9566318455
4500	0	1654 78 124 2644 0.9424501425
4500	1	1671 23 131 2675 0.9559496568
4500	2	1677 44 143 2636 0.9471900593
4500	3	1648 75 183 2594 0.9274057400
4500	4	1703 20 140 2637 0.9551318003
5000	0	1738 18 241 3003 0.9306559572
5000	1	1665 81 333 2921 0.8894230769
5000	2	1776 80 229 2915 0.9199689200
5000	3	1837 52 222 2889 0.9305977710
5000	4	1788 0 220 2992 0.9420442571
5500	0	1770 28 411 3291 0.8896707716
5500	1	1815 102 411 3172 0.8761766836
5500	2	1629 105 568 3198 0.8287967438
5500	3	1691 85 540 3184 0.8440229598
5500	4	1721 103 468 3208 0.8577124346
6000	0	1860 128 519 3493 0.8518433707
6000	1	1941 126 495 3438 0.8620919387
6000	2	1655 161 816 3368 0.7721017028
6000	3	1746 160 637 3457 0.8141757986
6000	4	1754 154 647 3445 0.8141100023
6500	0	1792 272 796 3640 0.7704213242
6500	1	1764 218 848 3670 0.7679582064
6500	2	1732 183 914 3671 0.7594825696
6500	3	1841 246 735 3678 0.7896204160
6500	4	1599 201 1017 3683 0.7241847826
7000	0	1765 224 1034 3977 0.7372598162
7000	1	1470 377 1329 3824 0.6328024107
7000	2	1702 204 1102 3992 0.7227176221
7000	3	1842 328 961 3869 0.7408003217
7000	4	1536 188 1270 4006 0.6781456954
7500	0	1604 350 1388 4158 0.6486049333
7500	1	1839 345 1187 4129 0.7059500960
7500	2	1506 374 1501 4119 0.6163290362
7500	3	1380 405 1639 4076 0.5745212323
7500	4	1676 365 1322 4137 0.6652113515
