1500	0.0531381302	1.0000000000	0.0175971514
2000	0.0616751226	1.0000000000	0.0165378163
2500	0.0711948241	1.0000000000	0.0120970644
3000	0.0905467724	0.9974597798	0.2037574761
3500	0.1023475017	0.9974358974	0.2018012558
4000	0.1182483498	0.9934452345	0.5980018136
4500	0.1380701424	0.9895561194	0.9952488042
5000	0.1897572825	0.9782070811	0.9906387486
5500	0.1819415075	0.9814834925	0.9932989987
6000	0.2809510002	0.9533764381	0.9806337604
6500	0.3889276895	0.9154854565	0.9664259412
7000	0.4894309196	0.8733093683	0.9460693950
7500	0.6613347645	0.7890139803	0.9028952554
