miss	0	1
1500	params_1.700000_16.000000	0.8983040000000001
2000	params_1.700000_16.000000	0.9473159999999999
2500	params_2.500000_8.000000	0.994835
3000	params_2.500000_8.000000	0.994865
3500	params_1.900000_8.000000	0.9956709999999999
4000	params_2.500000_2.000000	0.9960629999999999
4500	params_2.500000_2.000000	0.993326
5000	params_1.900000_8.000000	0.9925
5500	params_1.900000_8.000000	0.991243
6000	params_2.100000_8.000000	0.990735
6500	params_2.100000_8.000000	0.988375
7000	params_1.700000_16.000000	0.9740620000000001
7500	params_1.300000_8.000000	0.948734
