500	0	189 0 0 311 1.0000000000
500	1	194 0 0 306 1.0000000000
500	2	210 0 0 290 1.0000000000
500	3	177 0 0 323 1.0000000000
500	4	193 0 0 307 1.0000000000
1000	0	381 0 0 619 1.0000000000
1000	1	396 0 0 604 1.0000000000
1000	2	401 0 0 599 1.0000000000
1000	3	409 0 0 591 1.0000000000
1000	4	379 0 0 621 1.0000000000
1500	0	595 0 0 905 1.0000000000
1500	1	583 0 0 917 1.0000000000
1500	2	599 0 0 901 1.0000000000
1500	3	586 0 0 914 1.0000000000
1500	4	598 0 0 902 1.0000000000
2000	0	775 0 0 1225 1.0000000000
2000	1	801 0 0 1199 1.0000000000
2000	2	796 0 0 1204 1.0000000000
2000	3	778 0 0 1222 1.0000000000
2000	4	803 0 0 1197 1.0000000000
2500	0	974 0 0 1526 1.0000000000
2500	1	991 0 0 1509 1.0000000000
2500	2	991 0 0 1509 1.0000000000
2500	3	1004 0 0 1496 1.0000000000
2500	4	1017 0 0 1483 1.0000000000
3000	0	1177 0 0 1823 1.0000000000
3000	1	1192 0 0 1808 1.0000000000
3000	2	1190 0 0 1810 1.0000000000
3000	3	1222 0 0 1778 1.0000000000
3000	4	1190 0 0 1810 1.0000000000
3500	0	1371 0 0 2129 1.0000000000
3500	1	1387 0 0 2113 1.0000000000
3500	2	1402 0 0 2098 1.0000000000
3500	3	1412 0 0 2088 1.0000000000
3500	4	1428 0 0 2072 1.0000000000
4000	0	1582 0 0 2418 1.0000000000
4000	1	1587 0 0 2413 1.0000000000
4000	2	1619 0 0 2381 1.0000000000
4000	3	1608 0 0 2392 1.0000000000
4000	4	1616 0 0 2384 1.0000000000
4500	0	1778 0 0 2722 1.0000000000
4500	1	1802 0 0 2698 1.0000000000
4500	2	1819 0 1 2680 0.9997251992
4500	3	1831 0 0 2669 1.0000000000
4500	4	1843 0 0 2657 1.0000000000
5000	0	1979 0 0 3021 1.0000000000
5000	1	1997 0 1 3002 0.9997496871
5000	2	1995 2 10 2993 0.9970014993
5000	3	2049 0 10 2941 0.9975657254
5000	4	2008 0 0 2992 1.0000000000
5500	0	2179 0 2 3319 0.9995412844
5500	1	2225 0 1 3274 0.9997753314
5500	2	2190 0 7 3303 0.9984043766
5500	3	2231 0 0 3269 1.0000000000
5500	4	2181 0 8 3311 0.9981693364
6000	0	2365 3 14 3618 0.9964187908
6000	1	2411 1 25 3563 0.9946369637
6000	2	2443 0 28 3529 0.9943019943
6000	3	2368 3 15 3614 0.9962137148
6000	4	2369 1 32 3598 0.9930832111
6500	0	2510 15 78 3897 0.9818110698
6500	1	2520 14 92 3874 0.9794014769
6500	2	2494 5 152 3849 0.9694849368
6500	3	2477 8 99 3916 0.9788579332
6500	4	2508 32 108 3852 0.9728471683
7000	0	2551 47 248 4154 0.9453400037
7000	1	2554 54 245 4147 0.9447013131
7000	2	2573 30 231 4166 0.9517292399
7000	3	2563 47 240 4150 0.9469794938
7000	4	2592 25 214 4169 0.9559284529
7500	0	2334 112 658 4396 0.8584038249
7500	1	2428 91 598 4383 0.8757439134
7500	2	2296 110 711 4383 0.8483280990
7500	3	2273 112 746 4369 0.8412287195
7500	4	2317 137 681 4365 0.8499633162
