1500	0	0.1631345533
1500	1	0.1555626338
1500	2	0.1058610617
1500	3	0.1075310964
1500	4	0.1331937195
2000	0	0.1656248481
2000	1	0.1359801213
2000	2	0.1261962933
2000	3	0.1875337432
2000	4	0.1467363991
2500	0	0.1675629400
2500	1	0.1628084393
2500	2	0.1566528293
2500	3	0.1712847626
2500	4	0.1493550488
3000	0	0.1721710090
3000	1	0.1909585118
3000	2	0.1830355264
3000	3	0.1700001286
3000	4	0.1669402582
3500	0	0.2011933839
3500	1	0.2271622375
3500	2	0.1887310814
3500	3	0.2178164933
3500	4	0.1916784243
4000	0	0.1939852052
4000	1	0.2218544872
4000	2	0.1931851374
4000	3	0.2309636036
4000	4	0.2657553555
4500	0	0.2176531081
4500	1	0.2436985914
4500	2	0.2461526929
4500	3	0.2238061959
4500	4	0.2098187445
5000	0	0.2584554017
5000	1	0.2584092595
5000	2	0.2625474177
5000	3	0.2671958485
5000	4	0.2812418590
5500	0	0.2811098111
5500	1	0.2775895235
5500	2	0.2901240613
5500	3	0.2678310957
5500	4	0.2777569380
6000	0	0.3257028742
6000	1	0.3175817619
6000	2	0.3576970621
6000	3	0.3482932162
6000	4	0.3394972673
6500	0	0.3864356231
6500	1	0.3692933584
6500	2	0.4045515803
6500	3	0.4003693914
6500	4	0.4346789385
7000	0	0.4634371936
7000	1	0.4663446398
7000	2	0.4395084434
7000	3	0.5348548272
7000	4	0.4971094957
7500	0	0.5261197278
7500	1	0.5020982437
7500	2	0.5487564539
7500	3	0.5489712626
7500	4	0.5518032127
