1500	0.0531381302	1.0000000000	0.0175971514
2000	0.0616751226	1.0000000000	0.0165378163
2500	0.0711948241	1.0000000000	0.0120970644
3000	0.0905467724	0.9974597798	0.2037574761
3500	0.1062610061	0.9960323887	0.4007629044
4000	0.1183215578	0.9934452345	0.5979753454
4500	0.1342771107	0.9910868877	0.7966777515
5000	0.1913827546	0.9782791253	0.9914619202
5500	0.2012940424	0.9776404380	0.9930703481
6000	0.3340906289	0.9454266647	0.9815158151
6500	0.4157773483	0.9179624639	0.9271846314
7000	0.5254445399	0.8785113857	0.8978216319
7500	0.6740846185	0.7851297501	0.9324120134
