miss	0	1
1500	params_2.300000	0.101871
2000	params_2.300000	0.11359000000000001
2500	params_2.300000	0.13311900000000002
3000	params_2.500000	0.148882
3500	params_2.500000	0.167106
4000	params_2.500000	0.18740199999999999
4500	params_2.500000	0.20712199999999997
5000	params_2.900000	0.23379299999999997
5500	params_2.500000	0.25895
6000	params_2.900000	0.305983
6500	params_2.900000	0.367061
7000	params_2.900000	0.46141000000000004
7500	params_2.900000	0.594717
