1500	0.1073649850	1.0000000000	0.0044334747
2000	0.1232600421	1.0000000000	0.0067326064
2500	0.1460337735	0.9929405902	0.5986060703
3000	0.1714692043	0.9793906924	0.8021209065
3500	0.2150250032	0.9721294696	0.7975803696
4000	0.2447848974	0.9587784575	0.9839119653
4500	0.3109747770	0.9410897200	0.9734111788
5000	0.3702750168	0.9218385944	0.9698806794
5500	0.4363730253	0.8838866481	0.9514787479
6000	0.5247210669	0.8573706150	0.9334693769
6500	0.6183754470	0.7937508121	0.9091146970
7000	0.7085331451	0.7569359128	0.8839580713
7500	0.8379622469	0.6823565469	0.8356795079
