1500	0.1191614963	0.9937070191	0.0068375798
2000	0.1342151592	0.9941257321	0.0069171790
2500	0.1468134245	0.9945318508	0.0081315249
3000	0.1693383422	0.9945172481	0.0093308009
3500	0.1869391630	0.9943204865	0.0100885335
4000	0.2013437875	0.9940933757	0.0096895823
4500	0.2178821058	0.9935642980	0.0098887608
5000	0.2539139000	0.9906038638	0.0174945620
5500	0.3883603267	0.9140953714	0.9628866222
6000	0.5196189018	0.8407005388	0.9328167333
6500	0.6696108499	0.7565331093	0.8889570154
7000	0.8354409204	0.6346795371	0.8258122553
7500	0.9570589901	0.5364476028	0.7653044631
