1500	0.1073649850	1.0000000000	0.0044334747
2000	0.1273713545	0.9984536082	0.0146676691
2500	0.1323855739	0.9968959583	0.4017005356
3000	0.1687920640	0.9921100526	0.7980292145
3500	0.2058620838	0.9716580632	0.9897453162
4000	0.2438328885	0.9548015766	0.9826607635
4500	0.2696415296	0.9431489146	0.9787856201
5000	0.3317828679	0.9234842919	0.9703453311
5500	0.4617564892	0.8620201774	0.9411185427
6000	0.5886174695	0.7921425788	0.9104321024
6500	0.6984804252	0.7239684360	0.8790691333
7000	0.8164876697	0.6507445814	0.8329396818
7500	0.9236771476	0.5847971272	0.7860081794
