1500	0.1185306535	0.9945731544	0.0078085661
2000	0.1344816447	0.9941602465	0.0071744043
2500	0.1466333026	0.9948468649	0.0090370540
3000	0.1677624055	0.9955403885	0.0086040290
3500	0.1867047926	0.9948257517	0.0102268932
4000	0.2010515444	0.9949167535	0.0099784363
4500	0.2179060490	0.9941809264	0.0101661553
5000	0.2532164921	0.9908643183	0.0165790726
5500	0.2685814858	0.9912020837	0.0244263237
6000	0.3221738090	0.9829432378	0.0940160776
6500	0.3876246772	0.9556546317	0.3260863755
7000	0.4780660073	0.9217783810	0.9030387200
7500	0.6351418981	0.8248163936	0.9183700021
