1500	0.1073649850	1.0000000000	0.0044334747
2000	0.1292716295	0.9970303422	0.2027680879
2500	0.1391719531	0.9937404734	0.6176865022
3000	0.1901988311	0.9765224770	0.7999177987
3500	0.2177301676	0.9681509300	0.9881826074
4000	0.2402936037	0.9596678516	0.9835520946
4500	0.2530088134	0.9683899738	0.8220415875
5000	0.3805798045	0.9168524398	0.7974022807
5500	0.3945390628	0.9078720906	0.7273455183
6000	0.5564221884	0.8312164272	0.7623194727
6500	0.6394874627	0.7888941621	0.9050555772
7000	0.7075237542	0.7485355368	0.8879141261
7500	0.8959226856	0.6309996875	0.8082047103
