1500	0.1178186666	0.9960923632	0.0088284038
2000	0.1247959624	0.9950876077	0.4119365670
2500	0.1436605228	0.9898229263	0.8060406017
3000	0.1634282546	0.9903955094	0.9964600542
3500	0.1823481400	0.9828363277	0.8273642704
4000	0.2563058226	0.9491863512	0.9815823851
4500	0.2793652780	0.9419809093	0.9752548498
5000	0.3532129381	0.9144084109	0.9659752156
5500	0.4898210250	0.8494623979	0.9378931795
6000	0.6203932622	0.7718896698	0.9030214424
6500	0.6819127387	0.7312603212	0.8833883830
7000	0.8427382533	0.6159008980	0.8148497562
7500	0.9562914393	0.5468429180	0.7662892494
