500		0.1462233074	0.9761658031	0.2168287625
1000		0.1027012385	1.0000000000	0.0036399024
1500		0.1220146150	0.9979331959	0.0076032703
2000		0.1339099277	0.9998708844	0.0035317036
2500		0.1576309000	0.9976647501	0.0030237894
3000		0.1720506214	0.9988911659	0.0012341826
3500		0.1962116006	0.9955694353	0.2043509994
4000		0.2182497799	0.9902937570	0.2270166961
4500		0.2263453332	0.9943577279	0.3172614916
5000		0.2672710013	0.9883657409	0.3538267129
5500		0.2791869401	0.9881357941	0.2678415877
6000		0.3353289455	0.9717068492	0.8413635513
6500		0.3983833773	0.9409433500	0.9845138947
7000		0.4786876481	0.9087612426	0.9740849244
7500		0.6350176371	0.8090998412	0.9325481165
