500		0.0600853219	1.0000000000	0.2552291846
1000		0.0784747668	1.0000000000	0.0419079170
1500		0.2913208900	0.9439694821	0.7740011560
2000		0.2235224632	0.9682646297	0.3958838088
2500		0.1651784933	0.9950718360	0.0064363351
3000		0.1746194524	0.9986410908	0.0044341618
3500		0.2051550113	0.9931606615	0.2340001047
4000		0.2211487578	0.9904961590	0.2282736944
4500		0.1808756356	0.9988372505	0.0047422731
5000		0.2179524966	0.9948546627	0.0129796434
5500		0.2306232425	0.9958405557	0.0234776671
6000		0.2818390140	0.9861075659	0.6221435490
6500		0.3398054860	0.9624408304	0.9283751548
7000		0.4072317899	0.9374847104	0.9834021041
7500		0.5375109723	0.8737826589	0.9624613401
