1500	0.1223250577	0.9984553618	0.0152400873
2000	0.1388253803	0.9994845354	0.0034298881
2500	0.1624983759	0.9968472855	0.0057528953
3000	0.1720506214	0.9988911659	0.0012341826
3500	0.1624270092	0.9990801912	0.0221255102
4000	0.1663856302	0.9996871758	0.0038280885
4500	0.1804314291	0.9988927906	0.0054786911
5000	0.2179836710	0.9947525320	0.0116381358
5500	0.2304733198	0.9958858637	0.0229270762
6000	0.2821370763	0.9861072135	0.6215251102
6500	0.3404813815	0.9620747990	0.9280681588
7000	0.4078616833	0.9373415319	0.9832783761
7500	0.5368335128	0.8744802524	0.9624200085
