7500	0	0 0 2992 4508 0.0000000000
7500	1	29 52 2997 4422 0.0186675249
7500	2	110 203 2897 4290 0.0662650602
7500	3	52 101 2967 4380 0.0327868852
7500	4	78 150 2920 4352 0.0483570986
7500	0	0 0 2992 4508 0.0000000000
7500	1	29 52 2997 4422 0.0186675249
7500	2	110 203 2897 4290 0.0662650602
7500	3	52 101 2967 4380 0.0327868852
7500	4	78 150 2920 4352 0.0483570986
7500	0	321 32 2671 4476 0.1919282511
7500	1	473 80 2553 4394 0.2643196424
7500	2	368 217 2639 4276 0.2048997773
7500	3	343 129 2676 4352 0.1965052993
7500	4	415 156 2583 4346 0.2325581395
7500	0	321 32 2671 4476 0.1919282511
7500	1	473 80 2553 4394 0.2643196424
7500	2	368 217 2639 4276 0.2048997773
7500	3	343 129 2676 4352 0.1965052993
7500	4	415 156 2583 4346 0.2325581395
7500	0	321 32 2671 4476 0.1919282511
7500	1	473 80 2553 4394 0.2643196424
7500	2	368 217 2639 4276 0.2048997773
7500	3	343 129 2676 4352 0.1965052993
7500	4	415 156 2583 4346 0.2325581395
7500	0	321 32 2671 4476 0.1919282511
7500	1	473 80 2553 4394 0.2643196424
7500	2	368 217 2639 4276 0.2048997773
7500	3	343 129 2676 4352 0.1965052993
7500	4	415 156 2583 4346 0.2325581395
7500	0	321 32 2671 4476 0.1919282511
7500	1	473 80 2553 4394 0.2643196424
7500	2	368 217 2639 4276 0.2048997773
7500	3	343 129 2676 4352 0.1965052993
7500	4	415 156 2583 4346 0.2325581395
