1500	0.0957451477	1.0000000000	0.0039460458
2000	0.1112229822	1.0000000000	0.0047923197
2500	0.1202265645	1.0000000000	0.0046728353
3000	0.1374281310	1.0000000000	0.0037041289
3500	0.1552962731	0.9994329649	0.0034688517
4000	0.1663143831	0.9997502872	0.0022315983
4500	0.1803787145	0.9988372505	0.0040674970
5000	0.2180651447	0.9948513788	0.0122844681
5500	0.2303254866	0.9957936161	0.0230233863
6000	0.2823984193	0.9860655958	0.6223225477
6500	0.3402616279	0.9619092007	0.9284590626
7000	0.4081867097	0.9373165978	0.9843238461
7500	0.5368315929	0.8747245263	0.9626195072
