1500	0	595 0 0 905 1.0000000000
1500	1	583 0 0 917 1.0000000000
1500	2	599 0 0 901 1.0000000000
1500	3	586 0 0 914 1.0000000000
1500	4	598 0 0 902 1.0000000000
2000	0	775 0 0 1225 1.0000000000
2000	1	801 0 0 1199 1.0000000000
2000	2	796 0 0 1204 1.0000000000
2000	3	778 0 0 1222 1.0000000000
2000	4	803 0 0 1197 1.0000000000
2500	0	974 0 0 1526 1.0000000000
2500	1	991 0 0 1509 1.0000000000
2500	2	991 0 0 1509 1.0000000000
2500	3	1004 0 0 1496 1.0000000000
2500	4	1017 0 0 1483 1.0000000000
3000	0	1177 0 0 1823 1.0000000000
3000	1	1192 0 0 1808 1.0000000000
3000	2	1190 0 0 1810 1.0000000000
3000	3	1222 0 0 1778 1.0000000000
3000	4	1190 0 0 1810 1.0000000000
3500	0	1371 0 0 2129 1.0000000000
3500	1	1387 0 0 2113 1.0000000000
3500	2	1402 0 0 2098 1.0000000000
3500	3	1404 0 8 2088 0.9971590909
3500	4	1427 0 1 2072 0.9996497373
4000	0	1582 0 0 2418 1.0000000000
4000	1	1585 0 2 2413 0.9993694830
4000	2	1617 0 2 2381 0.9993819530
4000	3	1608 0 0 2392 1.0000000000
4000	4	1616 0 0 2384 1.0000000000
4500	0	1774 0 4 2722 0.9988738739
4500	1	1800 0 2 2698 0.9994447529
4500	2	1806 0 14 2680 0.9961389961
4500	3	1831 0 0 2669 1.0000000000
4500	4	1842 0 1 2657 0.9997286296
5000	0	1973 0 6 3021 0.9984817814
5000	1	1985 0 13 3002 0.9967361285
5000	2	1957 0 48 2995 0.9878849066
5000	3	2032 0 27 2941 0.9934001467
5000	4	1999 0 9 2992 0.9977539306
5500	0	2160 0 21 3319 0.9951624050
5500	1	2222 0 4 3274 0.9991007194
5500	2	2166 1 31 3302 0.9926672777
5500	3	2216 0 15 3269 0.9966269395
5500	4	2169 0 20 3311 0.9954107389
6000	0	2342 2 37 3619 0.9917425365
6000	1	2365 3 71 3561 0.9845961699
6000	2	2380 2 91 3527 0.9808365959
6000	3	2331 7 52 3610 0.9875026477
6000	4	2335 4 66 3595 0.9852320675
6500	0	2431 20 157 3892 0.9648739829
6500	1	2429 8 183 3880 0.9621707269
6500	2	2431 7 215 3847 0.9563335956
6500	3	2416 10 160 3914 0.9660135946
6500	4	2351 6 265 3878 0.9455057309
7000	0	2438 47 361 4154 0.9227857684
7000	1	2446 42 353 4159 0.9252884434
7000	2	2463 20 341 4176 0.9317193115
7000	3	2436 62 367 4135 0.9190718732
7000	4	2512 16 294 4178 0.9418822647
7500	0	2210 102 782 4406 0.8333333333
7500	1	2329 74 697 4400 0.8579848959
7500	2	2192 115 815 4378 0.8249905909
7500	3	2142 90 877 4391 0.8158446010
7500	4	2189 139 809 4363 0.8220052572
