1500	0.1171098345	0.9955875201	0.0069432030
2000	0.1336868680	0.9950337600	0.0077557350
2500	0.1459230273	0.9953577247	0.0073409158
3000	0.1679802597	0.9953708157	0.0085525702
3500	0.1865172159	0.9951179594	0.0090021039
4000	0.2004452307	0.9951081305	0.0100200478
4500	0.2170609081	0.9947932681	0.0099237965
5000	0.2519170098	0.9913642286	0.0155396659
5500	0.2683133484	0.9914307087	0.0236577253
6000	0.3212889127	0.9833987183	0.0830115004
6500	0.3871215052	0.9552311110	0.3427013953
7000	0.4774255295	0.9220052785	0.8847326153
7500	0.6344554805	0.8261264746	0.9368128223
