1500	0.0531381302	1.0000000000	0.0175971514
2000	0.0616751226	1.0000000000	0.0165378163
2500	0.0711948241	1.0000000000	0.0120970644
3000	0.0865102476	0.9986509275	0.2041340625
3500	0.1062478645	0.9960323887	0.4008027599
4000	0.1173850646	0.9935808002	0.4002233461
4500	0.1377273076	0.9895063735	0.7964331203
5000	0.2157821727	0.9704273453	0.9895538632
5500	0.2496102564	0.9677567637	0.8006611596
6000	0.3616334273	0.9592268102	0.2647003886
6500	0.4285837022	0.9276339612	0.6052615825
7000	0.5235515174	0.8867633472	0.9280593342
7500	0.6715164765	0.7927690788	0.9416058099
