1500	0.0531381302	1.0000000000	0.0175971514
2000	0.0616751226	1.0000000000	0.0165378163
2500	0.0711948241	1.0000000000	0.0120970644
3000	0.0905467724	0.9974597798	0.2037574761
3500	0.1113108888	0.9938283349	0.4007853212
4000	0.1306619071	0.9959885743	0.4001812798
4500	0.2072051230	0.9993925007	0.0009430746
5000	0.2431694848	0.9959989536	0.0058389600
5500	0.2589180420	0.9963844971	0.0103545228
6000	0.3120517031	0.9872018430	0.2317904125
6500	0.3788542348	0.9606711405	0.3404594774
7000	0.4701642910	0.9276521011	0.8861272939
7500	0.6332206626	0.8263482290	0.9355984043
