miss	0	1
1500	params_1.100000_1024.000000	0.051637
2000	params_1.100000_1024.000000	0.0608116
2500	params_1.100000_32.000000	0.0704386
3000	params_1.100000_1024.000000	0.0844178
3500	params_1.100000_1024.000000	0.0940332
4000	params_1.100000_512.000000	0.116505
4500	params_1.100000_1024.000000	0.142574
5000	params_1.100000_1024.000000	0.16805
5500	params_1.100000_512.000000	0.2153
6000	params_1.100000_1024.000000	0.310492
6500	params_1.100000_16.000000	0.385275
7000	params_1.100000_16.000000	0.490255
7500	params_1.100000_16.000000	0.643275
