1500	0.1377988990	0.9869171564	0.6070720977
2000	0.1501086914	0.9900715562	0.6732949298
2500	0.1470142057	0.9925175206	0.6019510335
3000	0.1881762520	0.9842002398	0.9929090153
3500	0.2150625927	0.9668586847	0.9875500780
4000	0.2157065042	0.9803764950	0.9892563012
4500	0.2602430982	0.9606534968	0.9832937121
5000	0.3543015214	0.9180836072	0.8020112340
5500	0.4260828247	0.8920680064	0.8372322513
6000	0.5860678857	0.8202787875	0.9159365192
6500	0.6132040659	0.8094146320	0.7882927984
7000	0.7410424867	0.7311530477	0.8700239947
7500	0.8671672973	0.6617045058	0.8230984058
