1500	0	595 0 0 905 1.0000000000
1500	1	583 0 0 917 1.0000000000
1500	2	599 0 0 901 1.0000000000
1500	3	583 5 3 909 0.9931856899
1500	4	592 9 6 893 0.9874895746
2000	0	773 2 2 1223 0.9974193548
2000	1	801 0 0 1199 1.0000000000
2000	2	783 14 13 1190 0.9830508475
2000	3	763 8 15 1214 0.9851517108
2000	4	801 0 2 1197 0.9987531172
2500	0	963 5 11 1521 0.9917610711
2500	1	977 5 14 1504 0.9903699949
2500	2	976 4 15 1505 0.9903602232
2500	3	995 12 9 1484 0.9895574341
2500	4	995 14 22 1469 0.9822309970
3000	0	1148 10 29 1813 0.9832976445
3000	1	1170 1 22 1807 0.9902666102
3000	2	1155 12 35 1798 0.9800593975
3000	3	1206 5 16 1773 0.9913686806
3000	4	1137 6 53 1804 0.9747106730
3500	0	1332 25 39 2104 0.9765395894
3500	1	1313 12 74 2101 0.9682890855
3500	2	1343 20 59 2078 0.9714285714
3500	3	1363 38 49 2050 0.9690721649
3500	4	1361 23 67 2049 0.9679943101
4000	0	1501 14 81 2404 0.9693251534
4000	1	1481 48 106 2365 0.9505776637
4000	2	1557 12 62 2369 0.9767879548
4000	3	1514 50 94 2342 0.9546027743
4000	4	1568 28 48 2356 0.9763387298
4500	0	1647 48 131 2674 0.9484595451
4500	1	1672 34 130 2664 0.9532497149
4500	2	1746 0 74 2680 0.9792484577
4500	3	1686 72 145 2597 0.9395374756
4500	4	1718 14 125 2643 0.9611188811
5000	0	1810 13 169 3008 0.9521304577
5000	1	1859 0 139 3002 0.9639616282
5000	2	1794 2 211 2993 0.9439621152
5000	3	1737 108 322 2833 0.8898565574
5000	4	1818 81 190 2911 0.9306373176
5500	0	1901 7 280 3312 0.9298116899
5500	1	1841 115 385 3159 0.8804399809
5500	2	1857 0 340 3303 0.9161322151
5500	3	1816 73 415 3196 0.8815533981
5500	4	1726 143 463 3168 0.8506653524
6000	0	1842 134 537 3487 0.8459242250
6000	1	2011 8 425 3556 0.9028058361
6000	2	1879 117 592 3412 0.8412805015
6000	3	1647 185 736 3432 0.7814946619
6000	4	1985 3 416 3596 0.9045340624
6500	0	1991 68 597 3844 0.8568969227
6500	1	1927 23 685 3865 0.8448049101
6500	2	1590 167 1056 3687 0.7222348399
6500	3	1741 202 835 3722 0.7705244523
6500	4	1397 256 1219 3628 0.6544858281
7000	0	1824 186 975 4015 0.7585776669
7000	1	1851 40 948 4161 0.7893390192
7000	2	1417 137 1387 4059 0.6502983020
7000	3	1415 270 1388 3927 0.6305704100
7000	4	1183 198 1623 3996 0.5650823979
7500	0	1218 212 1774 4296 0.5508819539
7500	1	1187 229 1839 4245 0.5344439442
7500	2	1340 335 1667 4158 0.5724049551
7500	3	1233 339 1786 4142 0.5371378785
7500	4	1107 296 1891 4206 0.5030674847
