miss	0	1
1500	params_1.700000	0.796866
2000	params_1.500000	0.8464280000000001
2500	params_1.300000	0.8455969999999999
3000	params_1.300000	0.991877
3500	params_1.300000	0.991237
4000	params_1.100000	0.747019
4500	params_1.100000	0.943478
5000	params_1.100000	0.992606
5500	params_1.100000	0.988075
6000	params_1.100000	0.980915
6500	params_1.100000	0.9748399999999999
7000	params_1.100000	0.948126
7500	params_1.300000	0.947205
